Age,SubjNo,Age (months),Gender,CELF Score,Trials Completed,Subject
Adult,1,NA,NA,NA,96,Adult1
Adult,2,NA,NA,NA,96,Adult2
Adult,3,NA,NA,NA,96,Adult3
Adult,4,NA,NA,NA,96,Adult4
Adult,5,NA,NA,NA,96,Adult5
Adult,6,NA,NA,NA,96,Adult6
Adult,7,NA,NA,NA,96,Adult7
Adult,8,NA,NA,NA,96,Adult8
Adult,9,NA,NA,NA,96,Adult9
Adult,10,NA,NA,NA,96,Adult10
Adult,11,NA,NA,NA,96,Adult11
Adult,12,NA,NA,NA,96,Adult12
Adult,13,NA,NA,NA,96,Adult13
Adult,14,NA,NA,NA,96,Adult14
Adult,15,NA,NA,NA,96,Adult15
Adult,16,NA,NA,NA,96,Adult16
Adult,17,NA,NA,NA,96,Adult17
Adult,18,NA,NA,NA,96,Adult18
Adult,19,NA,NA,NA,96,Adult19
Adult,20,NA,NA,NA,96,Adult20
Adult,21,NA,NA,NA,96,Adult21
Adult,22,NA,NA,NA,96,Adult22
Adult,23,NA,NA,NA,96,Adult23
Adult,24,NA,NA,NA,96,Adult24
Three,1,42,f,10,96,Three1
Three,2,42,f,20,52,Three2
Three,6,38,f,20,44,Three6
Three,7,43,f,23,29,Three7
Three,8,45,m,17,73,Three8
Three,9,37,f,10,72,Three9
Three,11,39,m,15,63,Three11
Three,12,45,f,14,48,Three12
Three,13,43,f,17,55,Three13
Three,15,38,f,12,26,Three15
Three,16,40,f,28,24,Three16
Three,17,41,f,23,51,Three17
Three,18,41,f,19,48,Three18
Three,19,47,f,28,40,Three19
Three,20,41,m,20,92,Three20
Three,21,46,f,26,96,Three21
Three,22,39,m,20,48,Three22
Three,23,37,f,31,74,Three23
Three,27,42,f,11,51,Three27
Three,29,46,f,29,24,Three29
Three,30,40,m,20,48,Three30
Three,31,43,f,13,48,Three31
Three,32,43,m,28,48,Three32
Three,33,46,m,24,72,Three33
Three,34,42,f,24,54,Three34
Three,35,38,f,21,48,Three35
Three,36,38,m,20,72,Three36
Three,38,36,m,20,48,Three38
Three,39,43,f,20,49,Three39
Three,42,43,m,17,48,Three42
Three,43,43,m,23,48,Three43
Three,44,37,m,12,39,Three44
Three,46,44,m,31,48,Three46
Three,47,42,m,14,55,Three47
Five,1,67,f,30,72,Five1
Five,2,68,m,29,84,Five2
Five,4,67,m,32,78,Five4
Five,5,65,f,28,72,Five5
Five,6,61,m,36,32,Five6
Five,7,60,f,31,72,Five7
Five,8,61,f,26,96,Five8
Five,9,68,m,36,96,Five9
Five,10,65,m,32,48,Five10
Five,11,64,m,24,72,Five11
Five,12,64,m,27,96,Five12
Five,13,69,m,27,77,Five13
Five,14,66,m,30,48,Five14
Five,15,61,f,32,48,Five15
Five,16,68,f,30,48,Five16
Five,17,61,f,36,53,Five17
Five,18,71,f,29,48,Five18
Five,19,69,f,29,72,Five19
Five,20,66,f,36,48,Five20
Five,21,61,m,31,72,Five21
Five,22,71,f,36,96,Five22
Five,23,61,f,28,22,Five23
Five,24,71,m,36,48,Five24
Five,25,60,m,24,77,Five25
Five,26,68,f,32,72,Five26
Five,27,65,m,32,72,Five27
Five,28,65,m,24,48,Five28
Five,29,66,m,33,96,Five29
Five,30,65,m,28,96,Five30